	R1_count	R2_count	R1_mode_length	R1_count_at_mode_length	R2_mode_length	R2_count_at_mode_length	Mode_overlap	Count_at_mode_overlap
AS2113	22333	22041	130	22333	130	21939	8	18335
AS2039	26426	25213	130	26426	130	25121	8	20580
AS2117	21317	21117	130	21317	130	20918	8	17517
AS2087	17139	16951	130	17139	130	16869	8	14107
Tank-12D	38	47	130	38	130	36	8	28
AS2077	18764	18738	130	18764	130	18492	8	15626
AS2123	11667	11475	130	11667	130	11435	8	9704
AS2143	20382	20277	130	20382	130	20046	8	16791
AS2128	25412	24950	130	25412	130	24861	8	20816
AS2029	30583	30227	130	30583	130	30143	8	26150
AS2118	20085	20058	130	20085	130	19722	8	16692
Tank-8C	22315	22576	130	22315	130	22032	8	18156
Tank-2B	17817	18021	130	17817	130	17608	8	14733
AS2056	19954	19999	130	19954	130	19651	8	16299
AS2121	23498	23704	130	23498	130	23070	8	18725
Tank-13D	14282	14390	130	14282	130	14044	8	11729
AS2107	21628	21310	130	21628	130	21218	8	17606
AS2154	19097	19127	130	19097	130	18741	8	15454
AS2011	26857	26575	130	26857	130	26105	8	20698
AS2125	17108	16883	130	17108	130	16790	8	13932
AS2132	19913	19900	130	19913	130	19480	8	15350
AS2137	23212	23551	130	23212	130	22869	8	18360
AS2158	17799	18128	130	17799	130	17526	8	15190
AS2018	22053	21651	130	22053	130	21564	8	17926
AS2148	21481	21307	130	21481	130	21102	8	17917
AS2135	24548	24900	130	24548	130	24118	8	20363
AS2046	15405	15219	130	15405	130	15153	8	12565
AS2092	48071	47983	130	48071	130	46913	8	36892
AS2133	18389	18297	130	18389	130	18079	8	15213
AS2076	22050	21779	130	22050	130	21688	8	18555
AS2103	19326	19135	130	19326	130	18974	8	15906
AS2213	9204	9175	130	9204	130	9103	8	7252
AS2028	23576	23289	130	23576	130	23221	8	19823
AS2129	23688	23270	130	23688	130	23174	8	19606
Tank-7C	39910	40152	130	39910	130	39052	8	31606
AS2215	2463	2457	130	2463	130	2444	8	2021
AS2127	19683	19481	130	19683	130	19323	8	16162
AS2005	20857	20555	130	20857	130	20492	8	17199
AS2089	17549	17351	130	17549	130	17256	8	14481
AS2042	19118	19270	130	19118	130	18752	8	14509
AS2053	19038	19594	130	19038	130	18784	8	16371
AS2027	19872	19570	130	19872	130	19516	8	16415
AS2140	20159	20542	130	20159	130	19830	8	17236
AS2052	39063	38939	130	39063	130	38127	8	30735
AS2212	8961	8884	130	8961	130	8866	8	7211
