#SampleID	T	Date	Bath	Tank	SourceSite	Extract	Temp	Nutrients	Fraction	BathName	TP	TP_Bath	TP_Bath_Site	Bath_Site	Partition	Treatment	SiteNumeric
AS2135	8tp	10-Oct-2019	2	8	SB	V	27	Recovery	epiphyte	B	8	8_B	8_B_SB	B_SB	8S	CTN	0
AS2136	8tp	10-Oct-2019	2	8	TY	broken V	27	Recovery	epiphyte	B	8	8_B	8_B_TY	B_TY	8T	CTN	1
AS2134	8tp	10-Oct-2019	2	7	SB	V	27	Recovery	epiphyte	B	8	8_B	8_B_SB	B_SB	7S	CTN	0
AS2140	8tp	10-Oct-2019	2	10	TY	V	27	Recovery	epiphyte	B	8	8_B	8_B_TY	B_TY	10T	CTN	1
AS2139	8tp	10-Oct-2019	2	10	SB	V	27	Recovery	epiphyte	B	8	8_B	8_B_SB	B_SB	10S	CTN	0
AS2137	8tp	10-Oct-2019	2	9	TY	V	27	Recovery	epiphyte	B	8	8_B	8_B_TY	B_TY	9T	CTN	1
Tank-8C	5tp	19-Sep-2019	2	8	W	V	27	TRUE	water	B	5	5_B	5_B_W	B_W	8W	CTN	-1
Tank-8D	8tp	10-Oct-2019	2	8	W	V	27	Recovery	water	B	8	8_B	8_B_W	B_W	8W	CTN	-1
Tank-7B	3tp	08-Sep-2019	2	7	W	V	27	TRUE	water	B	3	3_B	3_B_W	B_W	7W	CTN	-1
Tank-7C	5tp	19-Sep-2019	2	7	W	V	27	TRUE	water	B	5	5_B	5_B_W	B_W	7W	CTN	-1
Tank-8A	0tp	15-Aug-2019	2	8	W	V	27	FALSE	water	B	0	0_B	0_B_W	B_W	8W	CTN	-1
AS2142	8tp	10-Oct-2019	3	11	SB	V	27	FALSE	epiphyte	C	8	8_C	8_C_SB	C_SB	11S	TCN	0
AS2141	8tp	10-Oct-2019	3	11	TY	V	27	FALSE	epiphyte	C	8	8_C	8_C_TY	C_TY	11T	TCN	1
AS2028	0tp	15-Aug-2019	3	14	TY	V	27	FALSE	epiphyte	C	0	0_C	0_C_TY	C_TY	14T	TCN	1
AS2025	0tp	15-Aug-2019	3	13	TY	V	27	FALSE	epiphyte	C	0	0_C	0_C_TY	C_TY	13T	TCN	1
AS2024	0tp	15-Aug-2019	3	12	TY	V	27	FALSE	epiphyte	C	0	0_C	0_C_TY	C_TY	12T	TCN	1
AS2027	0tp	15-Aug-2019	3	14	SB	V	27	FALSE	epiphyte	C	0	0_C	0_C_SB	C_SB	14S	TCN	0
AS2029	0tp	15-Aug-2019	3	15	TY	V	27	FALSE	epiphyte	C	0	0_C	0_C_TY	C_TY	15T	TCN	1
AS2023	0tp	15-Aug-2019	3	12	SB	V	27	FALSE	epiphyte	C	0	0_C	0_C_SB	C_SB	12S	TCN	0
AS2030	0tp	15-Aug-2019	3	15	SB	V	27	FALSE	epiphyte	C	0	0_C	0_C_SB	C_SB	15S	TCN	0
AS2026	0tp	15-Aug-2019	3	13	SB	V	27	FALSE	epiphyte	C	0	0_C	0_C_SB	C_SB	13S	TCN	0
AS2063	3tp	08-Sep-2019	3	12	SB	V	31	FALSE	epiphyte	C	3	3_C	3_C_SB	C_SB	12S	TCN	0
AS2069	3tp	08-Sep-2019	3	15	TY	V	31	FALSE	epiphyte	C	3	3_C	3_C_TY	C_TY	15T	TCN	1
AS2067	3tp	08-Sep-2019	3	14	SB	V	31	FALSE	epiphyte	C	3	3_C	3_C_SB	C_SB	14S	TCN	0
AS2066	3tp	08-Sep-2019	3	13	SB	V	31	FALSE	epiphyte	C	3	3_C	3_C_SB	C_SB	13S	TCN	0
AS2064	3tp	08-Sep-2019	3	12	TY	V	31	FALSE	epiphyte	C	3	3_C	3_C_TY	C_TY	12T	TCN	1
AS2068	3tp	08-Sep-2019	3	14	TY	V	31	FALSE	epiphyte	C	3	3_C	3_C_TY	C_TY	14T	TCN	1
AS2070	3tp	08-Sep-2019	3	15	SB	V	31	FALSE	epiphyte	C	3	3_C	3_C_SB	C_SB	15S	TCN	0
AS2065	3tp	08-Sep-2019	3	13	TY	V	31	FALSE	epiphyte	C	3	3_C	3_C_TY	C_TY	13T	TCN	1
AS2108	5tp	19-Sep-2019	3	14	TY	V	31	FALSE	epiphyte	C	5	5_C	5_C_TY	C_TY	14T	TCN	1
AS2110	5tp	19-Sep-2019	3	15	SB	V	31	FALSE	epiphyte	C	5	5_C	5_C_SB	C_SB	15S	TCN	0
AS2103	5tp	19-Sep-2019	3	12	SB	V	31	FALSE	epiphyte	C	5	5_C	5_C_SB	C_SB	12S	TCN	0
AS2104	5tp	19-Sep-2019	3	12	TY	V	31	FALSE	epiphyte	C	5	5_C	5_C_TY	C_TY	12T	TCN	1
AS2105	5tp	19-Sep-2019	3	13	TY	V	31	FALSE	epiphyte	C	5	5_C	5_C_TY	C_TY	13T	TCN	1
AS2109	5tp	19-Sep-2019	3	15	TY	V	31	FALSE	epiphyte	C	5	5_C	5_C_TY	C_TY	15T	TCN	1
AS2107	5tp	19-Sep-2019	3	14	SB	V	31	FALSE	epiphyte	C	5	5_C	5_C_SB	C_SB	14S	TCN	0
AS2106	5tp	19-Sep-2019	3	13	SB	V	31	FALSE	epiphyte	C	5	5_C	5_C_SB	C_SB	13S	TCN	0
AS2148	8tp	10-Oct-2019	3	14	TY	V	27	FALSE	epiphyte	C	8	8_C	8_C_TY	C_TY	14T	TCN	1
AS2144	8tp	10-Oct-2019	3	12	TY	V	27	FALSE	epiphyte	C	8	8_C	8_C_TY	C_TY	12T	TCN	1
AS2149	8tp	10-Oct-2019	3	15	TY	V	27	FALSE	epiphyte	C	8	8_C	8_C_TY	C_TY	15T	TCN	1
AS2146	8tp	10-Oct-2019	3	13	SB	V	27	FALSE	epiphyte	C	8	8_C	8_C_SB	C_SB	13S	TCN	0
AS2143	8tp	10-Oct-2019	3	12	SB	V	27	FALSE	epiphyte	C	8	8_C	8_C_SB	C_SB	12S	TCN	0
AS2145	8tp	10-Oct-2019	3	13	TY	V	27	FALSE	epiphyte	C	8	8_C	8_C_TY	C_TY	13T	TCN	1
AS2150	8tp	10-Oct-2019	3	15	SB	V	27	FALSE	epiphyte	C	8	8_C	8_C_SB	C_SB	15S	TCN	0
AS2147	8tp	10-Oct-2019	3	14	SB	V	27	FALSE	epiphyte	C	8	8_C	8_C_SB	C_SB	14S	TCN	0
Tank-12B	3tp	08-Sep-2019	3	12	W	V	31	FALSE	water	C	3	3_C	3_C_W	C_W	12W	TCN	-1
Tank-13D	8tp	10-Oct-2019	3	13	W	V	27	FALSE	water	C	8	8_C	8_C_W	C_W	13W	TCN	-1
Tank-13A	0tp	15-Aug-2019	3	13	W	V	27	FALSE	water	C	0	0_C	0_C_W	C_W	13W	TCN	-1
AS2035	0tp	15-Aug-2019	4	18	SB	V	27	FALSE	epiphyte	D	0	0_D	0_D_SB	D_SB	18S	TN	0
AS2039	0tp	15-Aug-2019	4	20	SB	V	27	FALSE	epiphyte	D	0	0_D	0_D_SB	D_SB	20S	TN	0
AS2034	0tp	15-Aug-2019	4	17	SB	V	27	FALSE	epiphyte	D	0	0_D	0_D_SB	D_SB	17S	TN	0
AS2033	0tp	15-Aug-2019	4	17	TY	V	27	FALSE	epiphyte	D	0	0_D	0_D_TY	D_TY	17T	TN	1
AS2036	0tp	15-Aug-2019	4	18	TY	V	27	FALSE	epiphyte	D	0	0_D	0_D_TY	D_TY	18T	TN	1
AS2038	0tp	15-Aug-2019	4	19	SB	V	27	FALSE	epiphyte	D	0	0_D	0_D_SB	D_SB	19S	TN	0
AS2040	0tp	15-Aug-2019	4	20	TY	V	27	FALSE	epiphyte	D	0	0_D	0_D_TY	D_TY	20T	TN	1
AS2037	0tp	15-Aug-2019	4	19	TY	V	27	FALSE	epiphyte	D	0	0_D	0_D_TY	D_TY	19T	TN	1
AS2079	3tp	08-Sep-2019	4	20	SB	V	31	TRUE	epiphyte	D	3	3_D	3_D_SB	D_SB	20S	TN	0
AS2076	3tp	08-Sep-2019	4	18	TY	V	31	TRUE	epiphyte	D	3	3_D	3_D_TY	D_TY	18T	TN	1
AS2073	3tp	08-Sep-2019	4	17	TY	V	31	TRUE	epiphyte	D	3	3_D	3_D_TY	D_TY	17T	TN	1
AS2074	3tp	08-Sep-2019	4	17	SB	V	31	TRUE	epiphyte	D	3	3_D	3_D_SB	D_SB	17S	TN	0
AS2077	3tp	08-Sep-2019	4	19	TY	V	31	TRUE	epiphyte	D	3	3_D	3_D_TY	D_TY	19T	TN	1
AS2078	3tp	08-Sep-2019	4	19	SB	V	31	TRUE	epiphyte	D	3	3_D	3_D_SB	D_SB	19S	TN	0
AS2080	3tp	08-Sep-2019	4	20	TY	V	31	TRUE	epiphyte	D	3	3_D	3_D_TY	D_TY	20T	TN	1
AS2075	3tp	08-Sep-2019	4	18	SB	V	31	TRUE	epiphyte	D	3	3_D	3_D_SB	D_SB	18S	TN	0
AS2120	5tp	19-Sep-2019	4	20	TY	V	31	TRUE	epiphyte	D	5	5_D	5_D_TY	D_TY	20T	TN	1
AS2117	5tp	19-Sep-2019	4	19	TY	V	31	TRUE	epiphyte	D	5	5_D	5_D_TY	D_TY	19T	TN	1
AS2118	5tp	19-Sep-2019	4	19	SB	V	31	TRUE	epiphyte	D	5	5_D	5_D_SB	D_SB	19S	TN	0
AS2114	5tp	19-Sep-2019	4	17	SB	V	31	TRUE	epiphyte	D	5	5_D	5_D_SB	D_SB	17S	TN	0
AS2116	5tp	19-Sep-2019	4	18	TY	V	31	TRUE	epiphyte	D	5	5_D	5_D_TY	D_TY	18T	TN	1
AS2119	5tp	19-Sep-2019	4	20	SB	V	31	TRUE	epiphyte	D	5	5_D	5_D_SB	D_SB	20S	TN	0
AS2115	5tp	19-Sep-2019	4	18	SB	V	31	TRUE	epiphyte	D	5	5_D	5_D_SB	D_SB	18S	TN	0
AS2113	5tp	19-Sep-2019	4	17	TY	V	31	TRUE	epiphyte	D	5	5_D	5_D_TY	D_TY	17T	TN	1
AS2153	8tp	10-Oct-2019	4	17	TY	V	27	Recovery	epiphyte	D	8	8_D	8_D_TY	D_TY	17T	TN	1
AS2156	8tp	10-Oct-2019	4	18	TY	V	27	Recovery	epiphyte	D	8	8_D	8_D_TY	D_TY	18T	TN	1
AS2157	8tp	10-Oct-2019	4	19	TY	V	27	Recovery	epiphyte	D	8	8_D	8_D_TY	D_TY	19T	TN	1
AS2158	8tp	10-Oct-2019	4	19	SB	V	27	Recovery	epiphyte	D	8	8_D	8_D_SB	D_SB	19S	TN	0
AS2160	8tp	10-Oct-2019	4	20	TY	V	27	Recovery	epiphyte	D	8	8_D	8_D_TY	D_TY	20T	TN	1
