asv	Core	Phylum	Class	Order
ac737b5caed4fd3d49b2db75c420cf37	TY	Proteobacteria	Alphaproteobacteria	Rhodobacterales
2745bfbc9a9c572750bf2ef39d0e415f	All	Proteobacteria	Gammaproteobacteria	Steroidobacterales
f5447e1fdcea4103702cc4c861ed1cb4	All	Proteobacteria	Alphaproteobacteria	Rhodobacterales
641de58474dd1b93c9cc883724aa6447	All	Bacteroidota	Bacteroidia	Chitinophagales
b59d4adb9caadfd5a721b91b5632defe	All	Proteobacteria	Alphaproteobacteria	Rhodobacterales
f4f19618a469dc57715ff25bc6c02b8f	TY	Planctomycetota	Planctomycetes	Pirellulales
158b0924c8c1d9044a44ea92e0552b33	TY	Cyanobacteria	Cyanobacteriia	Limnotrichales
9d113f5350e41892c208564e323fd59a	SB	Bacteroidota	Bacteroidia	Chitinophagales
e3d042600d581f52ecc27418bb340dcb	All	Proteobacteria	Alphaproteobacteria	Rhodobacterales
bb7d269c0b3658ea78cc619eeafab27a	SB	Bacteroidota	Bacteroidia	Cytophagales
c9834daa365f41b5e5852d3bbddd7ccb	All	Bacteroidota	Bacteroidia	Cytophagales
ecac6f70224a98899e44e45b3f6738f9	All	Proteobacteria	Gammaproteobacteria	Cellvibrionales
2830bd03a7e2ad7737186d941cdb096a	All	Proteobacteria	Alphaproteobacteria	Rhodobacterales
93815d05ba794d3c74dcc23b2d369d82	TY	Bacteroidota	Bacteroidia	Cytophagales
1c95265601df81fa5dfea86342e04483	TY	Proteobacteria	Alphaproteobacteria	Rhodobacterales
4522cf99ff9f4aa95d46ba2d80663a12	All	Proteobacteria	Alphaproteobacteria	Rhodobacterales
9ecd57bc6e039f7e38ead33a02c95c94	All	Proteobacteria	Gammaproteobacteria	Cellvibrionales
069627b6c38dc55194686b6091a97f18	All	Proteobacteria	Alphaproteobacteria	Micavibrionales
65c06fcb5e57e73a3599032b83f9b1e3	All	Proteobacteria	Gammaproteobacteria	Burkholderiales
e5f2ceeef828686d8ba00d926876d1ef	All	Proteobacteria	Alphaproteobacteria	Rhodobacterales
6437edfb4a9c467d319fed99c6a461f2	All	Planctomycetota	OM190	OM190
68fbc68a9ab3a297488621f8d740e304	TY	Planctomycetota	BD7-11	BD7-11
c96b140930b6f52b3295a682ec74d1cf	TY	Proteobacteria	Gammaproteobacteria	Alteromonadales
a2fde72b80049fadeab06a7d275b5e85	All	Bacteroidota	Bacteroidia	Chitinophagales
0c3fca511e06ab69b4c05b23ba3bb02e	TY	Bacteroidota	Bacteroidia	Cytophagales
2a48ce287f42b8f51acdd85356c2361d	All	Proteobacteria	Alphaproteobacteria	Rhodobacterales
29af575b7242be9504a997fd1add2d05	All	Proteobacteria	Gammaproteobacteria	Cellvibrionales
7037a407412021912f50bc9f510073d2	All	Proteobacteria	Alphaproteobacteria	Rhodobacterales
586c2be5954b42ef51e9bed9174e326f	All	Bacteroidota	Bacteroidia	Flavobacteriales
54c50063587f67263d19f43df94a5866	TY	Bacteroidota	Bacteroidia	Flavobacteriales
3a04cb1f2f87ae2b1b8473e867cd1eac	All	Bacteroidota	Bacteroidia	Flavobacteriales
99b57963234bb4e56522ea9beb48979f	All	Proteobacteria	Alphaproteobacteria	Rhodobacterales
485c51dea7f2f90ebdb0a6fe591a79a1	All	Proteobacteria	Alphaproteobacteria	uncultured
196266c2d8dae0a60bf0d1b9825796fb	TY	Proteobacteria	Gammaproteobacteria	Alteromonadales
8ebaee31089f8ff08cf8741721b47fac	TY	Bacteroidota	Bacteroidia	Chitinophagales
790d2345aa735e1697cdfecf64f011b1	TY	Proteobacteria	Alphaproteobacteria	Rhodobacterales
57e9b367f30ef2528c9316e0dca2f7e8	TY	Proteobacteria	Gammaproteobacteria	z
b59903701f39af7bb6258cb6c807341c	TY	Bacteroidota	Bacteroidia	Flavobacteriales
fd23d6b675f5d7b20e8bea372fd7cb5e	SB	Cyanobacteria	Vampirivibrionia	Caenarcaniphilales
8c1c92a2933f4f26dfb3303d467913af	All	Bacteroidota	Bacteroidia	Flavobacteriales
356f69861e0761e4474858ff7668a71f	TY	Planctomycetota	OM190	OM190
193b5befc776e250e7ba4c7410998cfc	All	Bacteroidota	Bacteroidia	Chitinophagales
ff4fe42ccd0b87100762327313ea91d6	TY	Proteobacteria	Alphaproteobacteria	Rhodobacterales
fbdd5b5b490757893831a30a19b76aba	TY	Bacteroidota	Bacteroidia	Chitinophagales
1575988ef60abc5bb9493e4d9f13d5bc	SB	Planctomycetota	Planctomycetes	Planctomycetales
