sample_name	metric	Treatment	TP	a	b	Site_a	Site_b	withinamong	distance
832	unweighted	CTCN	3tp	AS2042	AS2041	SB	TY	among sites	0.3732617137422729
833	unweighted	CTCN	3tp	AS2042	AS2043	SB	SB	within SB	0.519012495113149
834	unweighted	CTCN	3tp	AS2042	AS2045	SB	TY	among sites	0.5076032093481199
835	unweighted	CTCN	3tp	AS2042	AS2049	SB	TY	among sites	0.5000797633645687
836	unweighted	CTCN	3tp	AS2042	AS2050	SB	SB	within SB	0.5413230408356747
837	unweighted	CTCN	3tp	AS2042	AS2047	SB	SB	within SB	0.5477402731419931
838	unweighted	CTCN	3tp	AS2042	AS2046	SB	SB	within SB	0.5463058375697705
839	unweighted	CTCN	3tp	AS2042	AS2048	SB	TY	among sites	0.5340320624578295
840	unweighted	CTCN	3tp	AS2042	AS2044	SB	TY	among sites	0.5042449420813704
841	unweighted	CTCN	3tp	AS2041	AS2043	TY	SB	among sites	0.4853472252287212
842	unweighted	CTCN	3tp	AS2041	AS2045	TY	TY	within TY	0.5188086588660541
843	unweighted	CTCN	3tp	AS2041	AS2049	TY	TY	within TY	0.4864116984603025
844	unweighted	CTCN	3tp	AS2041	AS2050	TY	SB	among sites	0.5092364421354226
845	unweighted	CTCN	3tp	AS2041	AS2047	TY	SB	among sites	0.5276641279516131
846	unweighted	CTCN	3tp	AS2041	AS2046	TY	SB	among sites	0.5504834541768879
847	unweighted	CTCN	3tp	AS2041	AS2048	TY	TY	within TY	0.4915331073404265
848	unweighted	CTCN	3tp	AS2041	AS2044	TY	TY	within TY	0.4824696144211466
849	unweighted	CTCN	3tp	AS2043	AS2045	SB	TY	among sites	0.4884582254218758
850	unweighted	CTCN	3tp	AS2043	AS2049	SB	TY	among sites	0.4572833144884192
851	unweighted	CTCN	3tp	AS2043	AS2050	SB	SB	within SB	0.4446929272110376
852	unweighted	CTCN	3tp	AS2043	AS2047	SB	SB	within SB	0.4321093041499208
