sample_name	metric	Treatment	TP	a	b	Site_a	Site_b	withinamong	distance
283	weighted	CTCN	3tp	AS2042	AS2041	SB	TY	among sites	0.14608673970473507
284	weighted	CTCN	3tp	AS2042	AS2043	SB	SB	within SB	0.1793616702750555
285	weighted	CTCN	3tp	AS2042	AS2045	SB	TY	among sites	0.15675001747790102
286	weighted	CTCN	3tp	AS2042	AS2049	SB	TY	among sites	0.18210494181231154
287	weighted	CTCN	3tp	AS2042	AS2050	SB	SB	within SB	0.2241138520946369
288	weighted	CTCN	3tp	AS2042	AS2047	SB	SB	within SB	0.1868499244743512
289	weighted	CTCN	3tp	AS2042	AS2046	SB	SB	within SB	0.17467072000641312
290	weighted	CTCN	3tp	AS2042	AS2048	SB	TY	among sites	0.16371317211255185
291	weighted	CTCN	3tp	AS2042	AS2044	SB	TY	among sites	0.1931890302389865
292	weighted	CTCN	3tp	AS2041	AS2043	TY	SB	among sites	0.18303686778274755
293	weighted	CTCN	3tp	AS2041	AS2045	TY	TY	within TY	0.1805348200023253
294	weighted	CTCN	3tp	AS2041	AS2049	TY	TY	within TY	0.16611373517245173
295	weighted	CTCN	3tp	AS2041	AS2050	TY	SB	among sites	0.18955109748150706
296	weighted	CTCN	3tp	AS2041	AS2047	TY	SB	among sites	0.20169922566780046
297	weighted	CTCN	3tp	AS2041	AS2046	TY	SB	among sites	0.22176961900213876
298	weighted	CTCN	3tp	AS2041	AS2048	TY	TY	within TY	0.17764838851306833
299	weighted	CTCN	3tp	AS2041	AS2044	TY	TY	within TY	0.2152541040073372
300	weighted	CTCN	3tp	AS2043	AS2045	SB	TY	among sites	0.12692222195211744
301	weighted	CTCN	3tp	AS2043	AS2049	SB	TY	among sites	0.14847243277517272
302	weighted	CTCN	3tp	AS2043	AS2050	SB	SB	within SB	0.16233545013581874
303	weighted	CTCN	3tp	AS2043	AS2047	SB	SB	within SB	0.09747737519323932
304	weighted	CTCN	3tp	AS2043	AS2046	SB	SB	within SB	0.15181403537727814
305	weighted	CTCN	3tp	AS2043	AS2048	SB	TY	among sites	0.0985175437012602
306	weighted	CTCN	3tp	AS2043	AS2044	SB	TY	among sites	0.11227227613515577
307	weighted	CTCN	3tp	AS2045	AS2049	TY	TY	within TY	0.13838908623739146
308	weighted	CTCN	3tp	AS2045	AS2050	TY	SB	among sites	0.1697799715061651
309	weighted	CTCN	3tp	AS2045	AS2047	TY	SB	among sites	0.13364438169399964
310	weighted	CTCN	3tp	AS2045	AS2046	TY	SB	among sites	0.12523869952002892
311	weighted	CTCN	3tp	AS2045	AS2048	TY	TY	within TY	0.1245733458803036
312	weighted	CTCN	3tp	AS2045	AS2044	TY	TY	within TY	0.15938741929390052
313	weighted	CTCN	3tp	AS2049	AS2050	TY	SB	among sites	0.09415298189566884
314	weighted	CTCN	3tp	AS2049	AS2047	TY	SB	among sites	0.13666537997326558
