sample_name	metric	Treatment	TP	a	b	Site_a	Site_b	withinamong	distance
420	weighted	CTCN	5tp	AS2082	AS2081	SB	TY	among sites	0.14997488165211706
421	weighted	CTCN	5tp	AS2082	AS2087	SB	SB	within SB	0.1443101617491983
422	weighted	CTCN	5tp	AS2082	AS2083	SB	SB	within SB	0.13912739878346586
423	weighted	CTCN	5tp	AS2082	AS2085	SB	TY	among sites	0.20986145846122475
424	weighted	CTCN	5tp	AS2082	AS2089	SB	TY	among sites	0.174002733100747
425	weighted	CTCN	5tp	AS2082	AS2086	SB	SB	within SB	0.21341564061639026
426	weighted	CTCN	5tp	AS2082	AS2088	SB	TY	among sites	0.1571834467566356
427	weighted	CTCN	5tp	AS2081	AS2087	TY	SB	among sites	0.2091738732339179
428	weighted	CTCN	5tp	AS2081	AS2083	TY	SB	among sites	0.2225013339263667
429	weighted	CTCN	5tp	AS2081	AS2085	TY	TY	within TY	0.2996192955637845
430	weighted	CTCN	5tp	AS2081	AS2089	TY	TY	within TY	0.24120133287055165
431	weighted	CTCN	5tp	AS2081	AS2086	TY	SB	among sites	0.29225384505193985
432	weighted	CTCN	5tp	AS2081	AS2088	TY	TY	within TY	0.2267776819427825
433	weighted	CTCN	5tp	AS2087	AS2083	SB	SB	within SB	0.12037350015637292
434	weighted	CTCN	5tp	AS2087	AS2085	SB	TY	among sites	0.17888172964354784
435	weighted	CTCN	5tp	AS2087	AS2089	SB	TY	among sites	0.11431634252286794
436	weighted	CTCN	5tp	AS2087	AS2086	SB	SB	within SB	0.17098560778101085
437	weighted	CTCN	5tp	AS2087	AS2088	SB	TY	among sites	0.06753744414783887
438	weighted	CTCN	5tp	AS2083	AS2085	SB	TY	among sites	0.17358822622801745
439	weighted	CTCN	5tp	AS2083	AS2089	SB	TY	among sites	0.15026956186998627
440	weighted	CTCN	5tp	AS2083	AS2086	SB	SB	within SB	0.1742580303704606
441	weighted	CTCN	5tp	AS2083	AS2088	SB	TY	among sites	0.13620805976940212
442	weighted	CTCN	5tp	AS2085	AS2089	TY	TY	within TY	0.18223911328189035
443	weighted	CTCN	5tp	AS2085	AS2086	TY	SB	among sites	0.10542099862495316
444	weighted	CTCN	5tp	AS2085	AS2088	TY	TY	within TY	0.18593591872432008
445	weighted	CTCN	5tp	AS2089	AS2086	TY	SB	among sites	0.15990510676827915
446	weighted	CTCN	5tp	AS2089	AS2088	TY	TY	within TY	0.1080945525245808
447	weighted	CTCN	5tp	AS2086	AS2088	SB	TY	among sites	0.16548620989226684
448	weighted	CTN	5tp	AS2092	AS2091	TY	SB	among sites	0.07676475969548463
449	weighted	CTN	5tp	AS2092	AS2095	TY	SB	among sites	0.16225499943786734
450	weighted	CTN	5tp	AS2092	AS2093	TY	TY	within TY	0.16464425930379478
451	weighted	CTN	5tp	AS2092	AS2096	TY	TY	within TY	0.1970658906001122
452	weighted	CTN	5tp	AS2092	AS2094	TY	SB	among sites	0.19398933240224792
453	weighted	CTN	5tp	AS2092	AS2099	TY	SB	among sites	0.17057933269747302
454	weighted	CTN	5tp	AS2092	AS2097	TY	TY	within TY	0.24769257986511195
455	weighted	CTN	5tp	AS2092	AS2100	TY	TY	within TY	0.2468320408265591
456	weighted	CTN	5tp	AS2092	AS2098	TY	SB	among sites	0.1899324703288271
457	weighted	CTN	5tp	AS2091	AS2095	SB	SB	within SB	0.17208133051323066
458	weighted	CTN	5tp	AS2091	AS2093	SB	TY	among sites	0.17864537876127434
459	weighted	CTN	5tp	AS2091	AS2096	SB	TY	among sites	0.19521025627577598
460	weighted	CTN	5tp	AS2091	AS2094	SB	SB	within SB	0.20390230674097315
461	weighted	CTN	5tp	AS2091	AS2099	SB	SB	within SB	0.18107229663899946
462	weighted	CTN	5tp	AS2091	AS2097	SB	TY	among sites	0.25708586289772684
463	weighted	CTN	5tp	AS2091	AS2100	SB	TY	among sites	0.2500435560517581
464	weighted	CTN	5tp	AS2091	AS2098	SB	SB	within SB	0.2042095365417536
465	weighted	CTN	5tp	AS2095	AS2093	SB	TY	among sites	0.1040811193484426
466	weighted	CTN	5tp	AS2095	AS2096	SB	TY	among sites	0.1257667507328081
467	weighted	CTN	5tp	AS2095	AS2094	SB	SB	within SB	0.13271384876131415
468	weighted	CTN	5tp	AS2095	AS2099	SB	SB	within SB	0.1434977301220313
469	weighted	CTN	5tp	AS2095	AS2097	SB	TY	among sites	0.17904967032492242
470	weighted	CTN	5tp	AS2095	AS2100	SB	TY	among sites	0.2385362071015893
471	weighted	CTN	5tp	AS2095	AS2098	SB	SB	within SB	0.12123069770155002
472	weighted	CTN	5tp	AS2093	AS2096	TY	TY	within TY	0.14750749316539544
473	weighted	CTN	5tp	AS2093	AS2094	TY	SB	among sites	0.105971968991139
474	weighted	CTN	5tp	AS2093	AS2099	TY	SB	among sites	0.1449273909790761
475	weighted	CTN	5tp	AS2093	AS2097	TY	TY	within TY	0.19983369633753206
476	weighted	CTN	5tp	AS2093	AS2100	TY	TY	within TY	0.25223709230635083
477	weighted	CTN	5tp	AS2093	AS2098	TY	SB	among sites	0.13673552538804598
478	weighted	CTN	5tp	AS2096	AS2094	TY	SB	among sites	0.12515116053111147
479	weighted	CTN	5tp	AS2096	AS2099	TY	SB	among sites	0.16770218875523218
480	weighted	CTN	5tp	AS2096	AS2097	TY	TY	within TY	0.16687369920188844
481	weighted	CTN	5tp	AS2096	AS2100	TY	TY	within TY	0.24566420987264245
482	weighted	CTN	5tp	AS2096	AS2098	TY	SB	among sites	0.1541908648300641
483	weighted	CTN	5tp	AS2094	AS2099	SB	SB	within SB	0.14465926660859282
484	weighted	CTN	5tp	AS2094	AS2097	SB	TY	among sites	0.18334605138352894
485	weighted	CTN	5tp	AS2094	AS2100	SB	TY	among sites	0.26552822375514434
486	weighted	CTN	5tp	AS2094	AS2098	SB	SB	within SB	0.15317848506336518
487	weighted	CTN	5tp	AS2099	AS2097	SB	TY	among sites	0.19426921813719816
488	weighted	CTN	5tp	AS2099	AS2100	SB	TY	among sites	0.2440017039275753
489	weighted	CTN	5tp	AS2099	AS2098	SB	SB	within SB	0.1463600525571921
490	weighted	CTN	5tp	AS2097	AS2100	TY	TY	within TY	0.29903368590645674
491	weighted	CTN	5tp	AS2097	AS2098	TY	SB	among sites	0.13528427853268038
492	weighted	CTN	5tp	AS2100	AS2098	TY	SB	among sites	0.2569789056211473
493	weighted	TCN	5tp	AS2108	AS2110	TY	SB	among sites	0.16188423442233466
494	weighted	TCN	5tp	AS2108	AS2103	TY	SB	among sites	0.1238158852019746
495	weighted	TCN	5tp	AS2108	AS2104	TY	TY	within TY	0.13884791263920512
496	weighted	TCN	5tp	AS2108	AS2105	TY	TY	within TY	0.12248632583028132
497	weighted	TCN	5tp	AS2108	AS2109	TY	TY	within TY	0.1639515138822307
498	weighted	TCN	5tp	AS2108	AS2107	TY	SB	among sites	0.13912606488124374
499	weighted	TCN	5tp	AS2108	AS2106	TY	SB	among sites	0.17086747232152122
500	weighted	TCN	5tp	AS2110	AS2103	SB	SB	within SB	0.16682746573110593
501	weighted	TCN	5tp	AS2110	AS2104	SB	TY	among sites	0.13398242270172078
502	weighted	TCN	5tp	AS2110	AS2105	SB	TY	among sites	0.14769077737840533
503	weighted	TCN	5tp	AS2110	AS2109	SB	TY	among sites	0.07793223531289148
504	weighted	TCN	5tp	AS2110	AS2107	SB	SB	within SB	0.2312700795759322
505	weighted	TCN	5tp	AS2110	AS2106	SB	SB	within SB	0.12350460763908225
506	weighted	TCN	5tp	AS2103	AS2104	SB	TY	among sites	0.10709451195670253
507	weighted	TCN	5tp	AS2103	AS2105	SB	TY	among sites	0.13184795139092267
508	weighted	TCN	5tp	AS2103	AS2109	SB	TY	among sites	0.16153419270599614
509	weighted	TCN	5tp	AS2103	AS2107	SB	SB	within SB	0.15614302044981646
510	weighted	TCN	5tp	AS2103	AS2106	SB	SB	within SB	0.196097531351996
511	weighted	TCN	5tp	AS2104	AS2105	TY	TY	within TY	0.13311821340757354
512	weighted	TCN	5tp	AS2104	AS2109	TY	TY	within TY	0.14744819973604734
513	weighted	TCN	5tp	AS2104	AS2107	TY	SB	among sites	0.1858114313788875
514	weighted	TCN	5tp	AS2104	AS2106	TY	SB	among sites	0.15871080911260502
