sample_name	metric	Treatment	TP	a	b	Site_a	Site_b	withinamong	distance
969	unweighted	CTCN	5tp	AS2082	AS2081	SB	TY	among sites	0.3292618238636345
970	unweighted	CTCN	5tp	AS2082	AS2087	SB	SB	within SB	0.5327575620600636
971	unweighted	CTCN	5tp	AS2082	AS2083	SB	SB	within SB	0.4844183607267929
972	unweighted	CTCN	5tp	AS2082	AS2085	SB	TY	among sites	0.5938932422835924
973	unweighted	CTCN	5tp	AS2082	AS2089	SB	TY	among sites	0.4897672387566208
974	unweighted	CTCN	5tp	AS2082	AS2086	SB	SB	within SB	0.5532396609917881
975	unweighted	CTCN	5tp	AS2082	AS2088	SB	TY	among sites	0.490407287991863
976	unweighted	CTCN	5tp	AS2081	AS2087	TY	SB	among sites	0.4968494084815898
977	unweighted	CTCN	5tp	AS2081	AS2083	TY	SB	among sites	0.4622183145352514
978	unweighted	CTCN	5tp	AS2081	AS2085	TY	TY	within TY	0.6036399698047291
979	unweighted	CTCN	5tp	AS2081	AS2089	TY	TY	within TY	0.514863305951365
980	unweighted	CTCN	5tp	AS2081	AS2086	TY	SB	among sites	0.5311843668795534
981	unweighted	CTCN	5tp	AS2081	AS2088	TY	TY	within TY	0.4899557312419797
982	unweighted	CTCN	5tp	AS2087	AS2083	SB	SB	within SB	0.4781081524153815
983	unweighted	CTCN	5tp	AS2087	AS2085	SB	TY	among sites	0.5041204833331975
984	unweighted	CTCN	5tp	AS2087	AS2089	SB	TY	among sites	0.4558386508995323
985	unweighted	CTCN	5tp	AS2087	AS2086	SB	SB	within SB	0.4222107412710278
986	unweighted	CTCN	5tp	AS2087	AS2088	SB	TY	among sites	0.377748286937799
987	unweighted	CTCN	5tp	AS2083	AS2085	SB	TY	among sites	0.5492816305959218
988	unweighted	CTCN	5tp	AS2083	AS2089	SB	TY	among sites	0.4621575249313254
989	unweighted	CTCN	5tp	AS2083	AS2086	SB	SB	within SB	0.50593200579846
990	unweighted	CTCN	5tp	AS2083	AS2088	SB	TY	among sites	0.4619303963460012
991	unweighted	CTCN	5tp	AS2085	AS2089	TY	TY	within TY	0.5279848390952699
992	unweighted	CTCN	5tp	AS2085	AS2086	TY	SB	among sites	0.4865413310688656
993	unweighted	CTCN	5tp	AS2085	AS2088	TY	TY	within TY	0.5232548763053321
994	unweighted	CTCN	5tp	AS2089	AS2086	TY	SB	among sites	0.4568307824732536
995	unweighted	CTCN	5tp	AS2089	AS2088	TY	TY	within TY	0.4327578062826874
996	unweighted	CTCN	5tp	AS2086	AS2088	SB	TY	among sites	0.4587212387762962
997	unweighted	CTN	5tp	AS2092	AS2091	TY	SB	among sites	0.32253534915574666
998	unweighted	CTN	5tp	AS2092	AS2095	TY	SB	among sites	0.5138514283965502
999	unweighted	CTN	5tp	AS2092	AS2093	TY	TY	within TY	0.5476250923943624
1000	unweighted	CTN	5tp	AS2092	AS2096	TY	TY	within TY	0.5289209810341062
1001	unweighted	CTN	5tp	AS2092	AS2094	TY	SB	among sites	0.5056151103096733
1002	unweighted	CTN	5tp	AS2092	AS2099	TY	SB	among sites	0.542330861766259
1003	unweighted	CTN	5tp	AS2092	AS2097	TY	TY	within TY	0.5959505919441159
1004	unweighted	CTN	5tp	AS2092	AS2100	TY	TY	within TY	0.6075289003196388
1005	unweighted	CTN	5tp	AS2092	AS2098	TY	SB	among sites	0.5484096486167076
1006	unweighted	CTN	5tp	AS2091	AS2095	SB	SB	within SB	0.4997813390653894
1007	unweighted	CTN	5tp	AS2091	AS2093	SB	TY	among sites	0.538947253245286
1008	unweighted	CTN	5tp	AS2091	AS2096	SB	TY	among sites	0.495725095889713
1009	unweighted	CTN	5tp	AS2091	AS2094	SB	SB	within SB	0.5406781529556577
1010	unweighted	CTN	5tp	AS2091	AS2099	SB	SB	within SB	0.5354136405596543
1011	unweighted	CTN	5tp	AS2091	AS2097	SB	TY	among sites	0.5795326981540627
1012	unweighted	CTN	5tp	AS2091	AS2100	SB	TY	among sites	0.5969496196659286
1013	unweighted	CTN	5tp	AS2091	AS2098	SB	SB	within SB	0.5465156905437957
1014	unweighted	CTN	5tp	AS2095	AS2093	SB	TY	among sites	0.4837358518814485
1015	unweighted	CTN	5tp	AS2095	AS2096	SB	TY	among sites	0.42533447530237306
1016	unweighted	CTN	5tp	AS2095	AS2094	SB	SB	within SB	0.4755823251928627
1017	unweighted	CTN	5tp	AS2095	AS2099	SB	SB	within SB	0.5306562856204581
1018	unweighted	CTN	5tp	AS2095	AS2097	SB	TY	among sites	0.5181106625014985
1019	unweighted	CTN	5tp	AS2095	AS2100	SB	TY	among sites	0.5560459166043512
1020	unweighted	CTN	5tp	AS2095	AS2098	SB	SB	within SB	0.4892547956403547
1021	unweighted	CTN	5tp	AS2093	AS2096	TY	TY	within TY	0.4910703573765576
1022	unweighted	CTN	5tp	AS2093	AS2094	TY	SB	among sites	0.4074696153212552
1023	unweighted	CTN	5tp	AS2093	AS2099	TY	SB	among sites	0.5439220209293442
1024	unweighted	CTN	5tp	AS2093	AS2097	TY	TY	within TY	0.525365807119937
1025	unweighted	CTN	5tp	AS2093	AS2100	TY	TY	within TY	0.5622319974762341
1026	unweighted	CTN	5tp	AS2093	AS2098	TY	SB	among sites	0.4966113723949205
1027	unweighted	CTN	5tp	AS2096	AS2094	TY	SB	among sites	0.4511787230057443
1028	unweighted	CTN	5tp	AS2096	AS2099	TY	SB	among sites	0.5452810763194599
1029	unweighted	CTN	5tp	AS2096	AS2097	TY	TY	within TY	0.5117142644417603
1030	unweighted	CTN	5tp	AS2096	AS2100	TY	TY	within TY	0.5502561633878673
1031	unweighted	CTN	5tp	AS2096	AS2098	TY	SB	among sites	0.4930839437795779
1032	unweighted	CTN	5tp	AS2094	AS2099	SB	SB	within SB	0.5082648912167047
1033	unweighted	CTN	5tp	AS2094	AS2097	SB	TY	among sites	0.5265465947471741
1034	unweighted	CTN	5tp	AS2094	AS2100	SB	TY	among sites	0.5848374085952682
1035	unweighted	CTN	5tp	AS2094	AS2098	SB	SB	within SB	0.4963870926630277
1036	unweighted	CTN	5tp	AS2099	AS2097	SB	TY	among sites	0.5791763641247334
1037	unweighted	CTN	5tp	AS2099	AS2100	SB	TY	among sites	0.43694414090415057
1038	unweighted	CTN	5tp	AS2099	AS2098	SB	SB	within SB	0.5446935411815623
1039	unweighted	CTN	5tp	AS2097	AS2100	TY	TY	within TY	0.5954371392828007
1040	unweighted	CTN	5tp	AS2097	AS2098	TY	SB	among sites	0.3927806177727929
1041	unweighted	CTN	5tp	AS2100	AS2098	TY	SB	among sites	0.5602848852322664
1042	unweighted	TCN	5tp	AS2108	AS2110	TY	SB	among sites	0.5028850189470447
