order	Treatment	Relative Abundance	TP
Chitinophagales	CTCN	0.07976730957081013	5.0
Chitinophagales	CTN	0.05993631083653537	5.0
Chitinophagales	TCN	0.056728717746802174	5.0
Chitinophagales	TN	0.08363777994536802	5.0
Cyanobacteriales	CTCN	0.018862910947366748	5.0
Cyanobacteriales	CTN	0.08099299940888935	5.0
Cyanobacteriales	TCN	0.021040149628888383	5.0
Cyanobacteriales	TN	0.025667388281495528	5.0
Cytophagales	CTCN	0.06917314375083572	5.0
Cytophagales	CTN	0.05853668203284531	5.0
Cytophagales	TCN	0.0540620196072391	5.0
Cytophagales	TN	0.050744173363264464	5.0
Flavobacteriales	CTCN	0.09756644430086141	5.0
Flavobacteriales	CTN	0.11965452327937456	5.0
Flavobacteriales	TCN	0.058170610531267694	5.0
Flavobacteriales	TN	0.0760676548485768	5.0
Myxococcales	CTCN	0.02198773533770411	5.0
Myxococcales	CTN	0.012012746302488091	5.0
Myxococcales	TCN	0.03926506623149419	5.0
Myxococcales	TN	0.02545814816823942	5.0
Rhizobiales	CTCN	0.015133150338178893	5.0
Rhizobiales	CTN	0.02594083987542962	5.0
Rhizobiales	TCN	0.048302190810715434	5.0
Rhizobiales	TN	0.026444592729358094	5.0
Rhodobacterales	CTCN	0.36401429355130754	5.0
Rhodobacterales	CTN	0.32437976589001216	5.0
Rhodobacterales	TCN	0.3283817912095282	5.0
Rhodobacterales	TN	0.28281275218755175	5.0
SBR1031	CTCN	0.05600644239187391	5.0
SBR1031	CTN	0.019832090253360822	5.0
SBR1031	TCN	0.035861830007598926	5.0
SBR1031	TN	0.0745457256195474	5.0
