order	Treatment	Relative Abundance	TP
Cellvibrionales	CTCN	0.03298965510419297	0.0
Cellvibrionales	CTN	0.04598922660591343	0.0
Cellvibrionales	TCN	0.05726867344215192	0.0
Cellvibrionales	TN	0.03737962258126755	0.0
Chitinophagales	CTCN	0.04462792084716159	0.0
Chitinophagales	CTN	0.03818369173886853	0.0
Chitinophagales	TCN	0.049438192750869324	0.0
Chitinophagales	TN	0.058670058797322705	0.0
Cytophagales	CTCN	0.04684039546258974	0.0
Cytophagales	CTN	0.048255972732437015	0.0
Cytophagales	TCN	0.03070447743303882	0.0
Cytophagales	TN	0.046954046033906544	0.0
Flavobacteriales	CTCN	0.09396939918434524	0.0
Flavobacteriales	CTN	0.1168405476776004	0.0
Flavobacteriales	TCN	0.13858302631094696	0.0
Flavobacteriales	TN	0.12962014874867006	0.0
OM190	CTCN	0.05144192440336722	0.0
OM190	CTN	0.04952120576234349	0.0
OM190	TCN	0.036617442043198035	0.0
OM190	TN	0.053503968685450654	0.0
Rhizobiales	CTCN	0.02284431696574584	0.0
Rhizobiales	CTN	0.022052627166967473	0.0
Rhizobiales	TCN	0.03883944654242722	0.0
Rhizobiales	TN	0.033980801371840855	0.0
Rhodobacterales	CTCN	0.34017880889804675	0.0
Rhodobacterales	CTN	0.3420120912182495	0.0
Rhodobacterales	TCN	0.3184339093147268	0.0
Rhodobacterales	TN	0.2475285295192412	0.0
SBR1031	CTCN	0.07554392538449572	0.0
SBR1031	CTN	0.04695203099066178	0.0
SBR1031	TCN	0.02771931957303502	0.0
SBR1031	TN	0.06598809224010171	0.0
