order	Treatment	Relative Abundance	TP
Cellvibrionales	CTCN	0.01980254931770028	8.0
Cellvibrionales	CTN	0.01761127334898129	8.0
Cellvibrionales	TCN	0.03081602661157027	8.0
Cellvibrionales	TN	0.020882997797389953	8.0
Chitinophagales	CTCN	0.0438453991678791	8.0
Chitinophagales	CTN	0.04240659008796549	8.0
Chitinophagales	TCN	0.03807140892415372	8.0
Chitinophagales	TN	0.059339654977191646	8.0
Cyanobacteriales	CTCN	0.0056444870837884615	8.0
Cyanobacteriales	CTN	0.030692406130271344	8.0
Cyanobacteriales	TCN	0.018583648878036867	8.0
Cyanobacteriales	TN	0.06729982807888438	8.0
Cytophagales	CTCN	0.05107562675154916	8.0
Cytophagales	CTN	0.03994875397841124	8.0
Cytophagales	TCN	0.04365607586190727	8.0
Cytophagales	TN	0.05975658271551167	8.0
Flavobacteriales	CTCN	0.059955840840801466	8.0
Flavobacteriales	CTN	0.07671391792996497	8.0
Flavobacteriales	TCN	0.07845554557457408	8.0
Flavobacteriales	TN	0.07399183994076389	8.0
Phormidesmiales	CTCN	0.020880035087367643	8.0
Phormidesmiales	CTN	0.015293403684114271	8.0
Phormidesmiales	TCN	0.05044678491264992	8.0
Phormidesmiales	TN	0.02568505425343916	8.0
Rhizobiales	CTCN	0.03580633949078678	8.0
Rhizobiales	CTN	0.02874443575544645	8.0
Rhizobiales	TCN	0.04614029400522714	8.0
Rhizobiales	TN	0.02349616948884832	8.0
Rhodobacterales	CTCN	0.3676156120535124	8.0
Rhodobacterales	CTN	0.4458106081157659	8.0
Rhodobacterales	TCN	0.27795305158688743	8.0
Rhodobacterales	TN	0.2865975621636999	8.0
